Date,State,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,Critical,NewCritical,NewCritical_2DayAvg,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000,DaysInCritical,DaysInCritical5,DaysInCritical100,DaysInCritical250,DaysInCritical000
3/18/20,Maryland,85,28,57,1.4,42.5,1.4,1,1,0,,0.5,,0,0,0,0,84,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1
3/19/2020,Maryland,107,22,28,2.7,25,2.4,1,0,1,,0.5,1.4,0,0,0,0,106,3,3,1,0,0,2,0,0,0,0,0,0,0,0,1
3/20/2020,Maryland,149,42,22,1.8,32,2.3,1,0,0,,0,,0,0,0,0,148,4,4,2,0,0,3,0,0,0,0,0,0,0,0,1
3/21/2020,Maryland,190,41,42,2.5,41.5,2.5,2,1,0,0.7,0.5,1.4,0,0,0,0,188,5,5,3,0,0,4,0,0,0,0,0,0,0,0,1
3/22/2020,Maryland,244,54,41,2.4,47.5,2.8,2,0,1,1.4,0.7,2.8,0,0,0,0,242,6,6,4,0,0,5,0,0,0,0,0,0,0,0,1
3/17/20,Massachusetts,218,218,0,1.0,218,1.0,0,0,0,1.0,0,1.0,,0,0,0,218,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Massachusetts,256,38,218,4.0,128,4.0,0,0,0,,0,,,0,0,0,256,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Massachusetts,328,72,38,2.5,55,3.3,0,0,0,,0,,,0,0,0,328,3,3,3,2,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Massachusetts,413,85,72,2.7,78.5,2.9,1,1,0,,0.5,,,0,0,0,412,4,4,4,3,0,1,0,0,0,0,0,0,0,0,1
3/21/2020,Massachusetts,525,112,85,2.6,98.5,2.9,2,1,1,0.7,1,0.7,,0,0,0,523,5,5,5,4,0,2,0,0,0,0,0,0,0,0,1
3/22/2020,Massachusetts,525,0,112,3.3,98.5,3.7,2,0,1,1.4,0.7,1.4,,0,0,0,523,6,6,6,5,0,3,0,0,0,0,0,0,0,0,1
3/17/20,Michigan,65,65,0,1.0,65,1.0,0,0,0,1.0,0,1.0,,0,0,0,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Michigan,80,15,65,3.0,40,3.0,1,1,0,,0.5,,,0,0,0,79,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1
